DIA,Baja California,Sonora,Chihuahua,Coahuila,Nuevo León ,Tamaulipas,TOTAL
15/12/2025,0,28,0,0,10,0,38
16/12/2025,31,0,0,1,0,0,32
17/12/2025,0,31,0,4,0,0,35
18/12/2025,0,0,4,3,0,4,11
19/12/2025,36,37,0,0,0,85,158
20/12/2025,0,0,30,4,7,0,41
21/12/2025,0,0,0,6,0,0,6
22/12/2025,0,38,0,2,14,105,159
23/12/2025,0,0,0,3,0,0,3
24/12/2025,0,0,0,1,0,0,1
25/12/2025,0,0,0,0,0,1,1
26/12/2025,0,59,0,3,0,94,156
27/12/2025,0,0,12,4,9,0,25
28/12/2025,0,0,0,0,0,0,0
29/12/2025,0,71,0,2,0,91,164
30/12/2025,27,0,47,3,10,1,88
31/12/2025,0,0,0,2,0,0,2
01/01/2026,0,0,0,2,0,0,2
02/01/2026,0,0,0,1,0,93,94
03/01/2026,0,0,80,0,9,0,89
04/01/2026,0,59,0,1,0,0,60
05/01/2026,0,0,0,0,0,83,83
06/01/2026,25,37,0,0,6,0,68
07/01/2026,0,17,0,3,0,2,22
08/01/2026,30,0,1,0,0,0,31
09/01/2026,0,37,40,0,0,103,180
10/01/2026,0,0,41,4,0,0,45
11/01/2026,0,0,0,0,0,0,0
12/01/2026,73,0,0,0,0,93,166
13/01/2026,0,0,72,0,5,0,77
14/01/2026,0,39,0,3,0,0,42
15/01/2026,0,0,41,1,16,2,60
16/01/2026,39,55,0,45,0,98,237
17/01/2026,0,0,0,4,0,0,4
18/01/2026,0,0,3,4,0,0,7
19/01/2026,0,50,0,33,0,89,172
20/01/2026,0,0,87,4,4,0,95
21/01/2026,39,39,0,0,0,0,78
22/01/2026,0,2,80,2,15,0,99
23/01/2026,26,35,0,7,0,0,68
24/01/2026,0,0,45,7,4,0,56
25/01/2026,0,1,0,0,0,0,1
26/01/2026,0,68,0,0,0,46,114
27/01/2026,0,0,60,3,5,0,68
28/01/2026,26,33,0,0,0,1,60
29/01/2026,0,1,7,11,3,0,22
30/01/2026,21,8,40,1,0,77,147
31/01/2026,0,0,32,7,8,0,47
01/02/2026,0,0,0,7,0,1,8
02/02/2026,0,0,0,4,0,39,43
03/02/2026,0,0,39,0,8,1,48
04/02/2026,29,30,0,0,0,0,59
05/02/2026,0,0,24,0,0,0,24
06/02/2026,0,31,0,5,0,0,36
07/02/2026,0,0,21,2,7,0,30
08/02/2026,0,3,0,1,0,0,4
09/02/2026,0,40,0,0,0,35,75
10/02/2026,0,2,56,0,2,1,61
11/02/2026,0,27,0,5,2,0,34
12/02/2026,0,0,27,0,2,0,29
13/02/2026,0,21,3,1,1,1,27
14/02/2026,0,0,3,2,0,0,5
15/02/2026,0,0,0,3,0,0,3
16/02/2026,0,22,0,0,0,0,22
17/02/2026,0,0,37,1,0,0,38
18/02/2026,16,11,0,1,0,0,28
19/02/2026,0,0,16,1,0,0,17
20/02/2026,0,8,0,5,14,0,27
21/02/2026,0,0,25,3,1,0,29
22/02/2026,0,1,0,3,4,0,8
23/02/2026,0,0,0,3,0,0,3
24/02/2026,0,0,0,1,0,0,1
25/02/2026,14,12,0,6,0,2,34
26/02/2026,0,0,19,1,0,0,20
27/02/2026,0,15,0,3,0,74,92
28/02/2026,0,0,20,0,4,0,24
01/03/2026,0,0,0,2,0,0,2
02/03/2026,0,20,0,2,5,35,62
03/03/2026,0,0,20,1,0,0,21
04/03/2026,20,26,0,2,0,0,48
05/03/2026,0,0,28,0,5,0,33
06/03/2026,17,22,0,0,0,63,102
07/03/2026,0,0,24,0,0,0,24
08/03/2026,0,0,0,0,0,1,1
09/03/2026,0,0,0,2,0,47,49
10/03/2026,0,0,25,1,3,0,29
11/03/2026,0,12,1,5,0,0,18
12/03/2026,9,2,10,2,0,0,23
13/03/2026,0,14,0,1,0,72,87
14/03/2026,0,0,10,0,8,0,18
15/03/2026,0,0,0,0,0,0,0
16/03/2026,0,5,0,8,0,26,39
17/03/2026,0,0,27,0,0,0,27
18/03/2026,0,24,0,1,0,27,52
19/03/2026,0,0,0,2,0,3,5
20/03/2026,25,18,4,1,0,56,104
21/03/2026,0,0,9,0,6,0,15
22/03/2026,0,0,0,1,0,0,1
23/03/2026,0,0,0,1,0,58,59
24/03/2026,0,0,40,2,0,3,45
25/03/2026,0,22,0,1,0,0,23
26/03/2026,0,0,14,1,0,0,15
27/03/2026,17,9,0,6,0,73,105
28/03/2026,0,0,29,0,0,0,29
29/03/2026,0,0,0,0,0,0,0
30/03/2026,0,5,0,2,0,30,37
31/03/2026,0,0,14,0,0,0,14
01/04/2026,0,7,0,3,0,1,11
02/04/2026,0,0,18,0,0,0,18
03/04/2026,23,0,0,2,0,0,25
04/04/2026,0,0,0,0,0,0,0
05/04/2026,0,5,0,0,0,1,6
06/04/2026,0,11,0,1,0,0,12
07/04/2026,0,0,32,4,0,0,36
08/04/2026,0,5,0,1,0,0,6
09/04/2026,0,0,11,2,0,0,13
10/04/2026,14,3,0,6,0,56,79
11/04/2026,0,1,28,7,16,0,52
12/04/2026,0,0,0,0,0,0,0
13/04/2026,0,12,0,2,0,1,15
14/04/2026,0,0,14,5,0,0,19
15/04/2026,0,0,0,3,0,0,3
16/04/2026,0,0,0,13,0,0,13
17/04/2026,0,0,0,1,0,71,72
18/04/2026,0,0,27,2,20,0,49
19/04/2026,0,3,0,2,0,0,5
20/04/2026,0,19,0,1,0,16,36
21/04/2026,0,0,8,0,4,0,12
22/04/2026,0,0,0,0,0,0,0
23/04/2026,0,3,20,3,3,0,29
24/04/2026,15,2,1,0,0,62,80
25/04/2026,0,1,21,5,0,1,28
26/04/2026,0,0,0,0,0,0,0
27/04/2026,0,16,0,3,0,0,19
28/04/2026,0,0,20,0,0,0,20
29/04/2026,0,0,0,1,1,0,2
30/04/2026,0,0,0,0,1,0,1
01/05/2026,10,3,22,1,4,71,111
02/05/2026,0,2,4,3,0,0,9
03/05/2026,0,0,0,2,0,1,3
04/05/2026,0,0,0,1,0,1,2
05/05/2026,0,0,27,1,1,0,29
06/05/2026,0,0,0,2,0,0,2
07/05/2026,0,0,0,9,0,0,9
08/05/2026,19,1,0,3,1,0,24
09/05/2026,0,0,20,1,5,0,26
10/05/2026,0,4,0,0,0,0,4
11/05/2026,0,24,0,6,0,0,30
12/05/2026,0,0,10,1,0,0,11
13/05/2026,0,0,0,2,0,0,2
14/05/2026,0,0,0,1,1,0,2
15/05/2026,9,1,0,0,1,0,11
16/05/2026,0,0,30,0,4,87,121
17/05/2026,0,0,0,2,0,0,2
18/05/2026,0,25,0,1,0,1,27
19/05/2026,0,0,16,1,0,2,19
20/05/2026,0,0,0,3,0,0,3
21/05/2026,0,0,0,2,1,1,4
22/05/2026,0,0,29,14,0,55,98
23/05/2026,0,0,0,1,0,0,1
24/05/2026,0,0,0,0,1,0,1
25/05/2026,0,28,0,3,0,0,31
